# SPDX-License-Identifier: PMPL-1.0-or-later
# Sample Seshat-style data for Cliodynamics.jl
# Based on structure of Seshat Global History Databank (seshatdatabank.info)
# Values are synthetic approximations for demonstration purposes
year,polity,population,elites,territory,social_complexity,state_revenue,real_wages
-500,RomRepworlds,150000,500,25000,0.35,12000,1.2
-400,RomRepworlds,280000,900,45000,0.42,25000,1.15
-300,RomRepworlds,500000,1800,120000,0.55,60000,1.1
-200,RomRepworlds,900000,4000,350000,0.68,150000,1.0
-100,RomRepworlds,1500000,8000,800000,0.78,350000,0.92
0,RomPrinworlds,4000000,25000,3300000,0.88,1200000,0.85
50,RomPrinworlds,5500000,35000,3400000,0.91,1500000,0.82
100,RomPrinworlds,6000000,45000,3500000,0.93,1800000,0.78
150,RomPrinworlds,5800000,55000,3400000,0.90,1600000,0.72
200,RomPrinworlds,5500000,65000,3300000,0.87,1400000,0.65
250,RomDomworlds,5000000,70000,3000000,0.82,1100000,0.58
300,RomDomworlds,4200000,60000,2500000,0.75,800000,0.55
350,RomDomworlds,3500000,45000,2000000,0.65,500000,0.60
400,RomDomworlds,2800000,30000,1200000,0.52,300000,0.68
450,PostRomworlds,2000000,15000,500000,0.38,100000,0.75
500,EngASworlds,50000,200,15000,0.20,3000,0.90
600,EngASworlds,80000,400,30000,0.25,6000,0.95
700,EngASworlds,120000,700,50000,0.32,12000,1.0
800,EngASworlds,180000,1200,70000,0.38,20000,0.98
900,EngASworlds,250000,2000,90000,0.45,35000,0.95
1000,EngNrmworlds,350000,3500,120000,0.55,60000,0.90
1100,EngNrmworlds,500000,6000,150000,0.62,100000,0.85
1200,EngNrmworlds,700000,10000,180000,0.68,160000,0.78
1300,EngNrmworlds,900000,15000,200000,0.72,200000,0.65
1348,EngNrmworlds,500000,12000,200000,0.70,100000,0.90
1400,EngLMworlds,400000,8000,200000,0.68,120000,1.1
1500,EngTudworlds,450000,10000,210000,0.72,180000,1.0
1600,EngTudworlds,600000,18000,250000,0.78,300000,0.85
1700,EngModworlds,800000,25000,300000,0.85,500000,0.80
1800,EngModworlds,1500000,40000,400000,0.92,1200000,0.72
